片名,个人评分,打分日期,影片链接
"删除电锯人","","","https://movie.douban.com/subject/35256195/",
"删除V字仇杀队","","","https://movie.douban.com/subject/1309046/",
"哈尔的移动城堡 / ハウルの動く城","3","2019-02-08","https://movie.douban.com/subject/1308807/",
"摔跤吧！爸爸 / Dangal","4","2019-02-08","https://movie.douban.com/subject/26387939/",
"飞屋环游记 / Up","5","2019-02-08","https://movie.douban.com/subject/2129039/",
"少年派的奇幻漂流 / Life of Pi","5","2019-02-08","https://movie.douban.com/subject/1929463/",
"蝙蝠侠：黑暗骑士 / The Dark Knight","5","2019-02-08","https://movie.douban.com/subject/1851857/",
"疯狂动物城 / Zootopia","5","2019-02-08","https://movie.douban.com/subject/25662329/",
"当幸福来敲门 / The Pursuit of Happyness","5","2019-02-08","https://movie.douban.com/subject/1849031/",
"星际穿越 / Interstellar","5","2019-02-08","https://movie.douban.com/subject/1889243/",
"三傻大闹宝莱坞 / 3 Idiots","5","2019-02-08","https://movie.douban.com/subject/3793023/",
"机器人总动员 / WALL·E","5","2019-02-08","https://movie.douban.com/subject/2131459/",
"盗梦空间 / Inception","5","2019-02-08","https://movie.douban.com/subject/3541415/",
"辛德勒的名单 / Schindler's List","5","2019-02-08","https://movie.douban.com/subject/1295124/",
"千与千寻 / 千と千尋の神隠し","5","2019-02-08","https://movie.douban.com/subject/1291561/",
"泰坦尼克号 / Titanic","5","2019-02-08","https://movie.douban.com/subject/1292722/",
"海王 / Aquaman","4","2019-02-08","https://movie.douban.com/subject/3878007/",
"蜘蛛侠：平行宇宙 / Spider-Man: Into the Spider-Verse","","2019-02-08","https://movie.douban.com/subject/26374197/",
"神奇动物：格林德沃之罪 / Fantastic Beasts: The Crimes of Grind...","","2019-02-08","https://movie.douban.com/subject/26147417/",
"阿甘正传 / Forrest Gump","5","2019-02-08","https://movie.douban.com/subject/1292720/",
"疯狂的外星人","","2019-02-08","https://movie.douban.com/subject/25986662/",
"头号玩家 / Ready Player One","5","2019-04-04","https://movie.douban.com/subject/4920389/",
"全民超人汉考克 / Hancock","5","2019-04-04","https://movie.douban.com/subject/1949312/",
"闪电狗 / Bolt","4","2019-04-04","https://movie.douban.com/subject/1793912/",
"美食总动员 / Ratatouille","5","2019-04-04","https://movie.douban.com/subject/1793491/",
"X战警 / X-Men","4","2019-04-04","https://movie.douban.com/subject/1295250/",
"纳尼亚传奇1：狮子、女巫和魔衣橱 / The Chronicles of Narnia: Th...","4","2019-04-04","https://movie.douban.com/subject/1309052/",
"鼠来宝 / Alvin and the Chipmunks","4","2019-04-04","https://movie.douban.com/subject/2139553/",
"狮子王 / The Lion King","5","2019-04-04","https://movie.douban.com/subject/1301753/",
"查理和巧克力工厂 / Charlie and the Chocolate Factory","5","2019-04-04","https://movie.douban.com/subject/1309101/",
"天降美食 / Cloudy with a Chance of Meatballs","5","2019-04-04","https://movie.douban.com/subject/3102668/",
"夏洛特的网 / Charlotte's Web","5","2019-04-04","https://movie.douban.com/subject/1457218/",
"阿凡达 / Avatar","5","2019-04-04","https://movie.douban.com/subject/1652587/",
"爱丽丝梦游仙境 / Alice in Wonderland","4","2019-04-04","https://movie.douban.com/subject/2336785/",
"神奇四侠 / Fantastic Four","4","2019-04-04","https://movie.douban.com/subject/1309103/",
"神奇四侠2 / Fantastic 4: Rise of the Silver Surfer","4","2019-04-04","https://movie.douban.com/subject/1584750/",
"变形金刚 / Transformers","5","2019-04-04","https://movie.douban.com/subject/1794171/",
"纳尼亚传奇3：黎明踏浪号 / The Chronicles of Narnia: The Voyage...","5","2019-04-04","https://movie.douban.com/subject/2131291/",
"无敌破坏王 / Wreck-It Ralph","5","2019-04-04","https://movie.douban.com/subject/6534248/",
"复仇者联盟 / The Avengers","4","2019-04-04","https://movie.douban.com/subject/1866479/",
"超人：钢铁之躯 / Man of Steel","5","2019-04-04","https://movie.douban.com/subject/2049435/",
"神偷奶爸 / Despicable Me","5","2019-04-04","https://movie.douban.com/subject/3287562/",
"钢铁侠3 / Iron Man 3","5","2019-04-04","https://movie.douban.com/subject/3231742/",
"霍比特人2：史矛革之战 / The Hobbit: The Desolation of Smaug","5","2019-04-04","https://movie.douban.com/subject/11606328/",
"美国队长2 / Captain America: The Winter Soldier","4","2019-04-04","https://movie.douban.com/subject/6390823/",
"里约大冒险2 / Rio 2","3","2019-04-04","https://movie.douban.com/subject/11443314/",
"里约大冒险 / Rio","5","2019-04-04","https://movie.douban.com/subject/3731581/",
"超凡蜘蛛侠2 / The Amazing Spider-Man 2","5","2019-04-04","https://movie.douban.com/subject/6082518/",
"忍者神龟：变种时代 / Teenage Mutant Ninja Turtles","4","2019-04-04","https://movie.douban.com/subject/3217149/",
"蚁人 / Ant-Man","5","2019-04-04","https://movie.douban.com/subject/1866473/",
"寻龙诀","3","2019-04-04","https://movie.douban.com/subject/3077412/",
"疯狂原始人 / The Croods","5","2019-04-04","https://movie.douban.com/subject/1907966/",
"帕丁顿熊 / Paddington","5","2019-04-04","https://movie.douban.com/subject/2998373/",
"X战警：逆转未来 / X-Men: Days of Future Past","5","2019-04-04","https://movie.douban.com/subject/10485647/",
"小黄人大眼萌 / Minions","4","2019-04-04","https://movie.douban.com/subject/11624706/",
"魔兽 / Warcraft","4","2019-04-04","https://movie.douban.com/subject/2131940/",
"X战警：天启 / X-Men: Apocalypse","3","2019-04-04","https://movie.douban.com/subject/25786060/",
"奇异博士 / Doctor Strange","5","2019-04-04","https://movie.douban.com/subject/3025375/",
"神奇女侠 / Wonder Woman","3","2019-04-04","https://movie.douban.com/subject/1578714/",
"神偷奶爸3 / Despicable Me 3","2","2019-04-04","https://movie.douban.com/subject/25812712/",
"银河护卫队 / Guardians of the Galaxy","5","2019-04-04","https://movie.douban.com/subject/7065154/",
"银河护卫队2 / Guardians of the Galaxy Vol. 2","5","2019-04-04","https://movie.douban.com/subject/25937854/",
"蜘蛛侠：英雄归来 / Spider-Man: Homecoming","4","2019-04-04","https://movie.douban.com/subject/24753477/",
"雷神2：黑暗世界 / Thor: The Dark World","3","2019-04-04","https://movie.douban.com/subject/6560058/",
"加勒比海盗5：死无对证 / Pirates of the Caribbean: Dead Men Tel...","4","2019-04-04","https://movie.douban.com/subject/6311303/",
"神奇动物在哪里 / Fantastic Beasts and Where to Find Them","4","2019-04-04","https://movie.douban.com/subject/25726614/",
"太空旅客 / Passengers","4","2019-04-04","https://movie.douban.com/subject/3434070/",
"正义联盟 / Justice League","5","2019-04-04","https://movie.douban.com/subject/2158490/",
"寻梦环游记 / Coco","5","2019-04-04","https://movie.douban.com/subject/20495023/",
"复仇者联盟3：无限战争 / Avengers: Infinity War","5","2019-04-04","https://movie.douban.com/subject/24773958/",
"雷神3：诸神黄昏 / Thor: Ragnarok","4","2019-04-04","https://movie.douban.com/subject/25821634/",
